============================================================
宏观责任链（社区级）
============================================================
  责任方社区#0 --[leads_to, score=0.88]--> 违规行为社区#0
  责任方社区#6 --[regulated_by, score=0.35]--> 监管机构社区#10
  责任方社区#7 --[regulated_by, score=0.90]--> 监管机构社区#0
  责任方社区#7 --[regulated_by, score=0.84]--> 监管机构社区#1
  责任方社区#7 --[regulated_by, score=0.90]--> 监管机构社区#2
  责任方社区#7 --[regulated_by, score=0.45]--> 监管机构社区#3
  责任方社区#7 --[regulated_by, score=0.78]--> 监管机构社区#4
  责任方社区#7 --[regulated_by, score=0.62]--> 监管机构社区#5
  责任方社区#7 --[regulated_by, score=0.45]--> 监管机构社区#6
  责任方社区#7 --[regulated_by, score=0.95]--> 监管机构社区#7
  责任方社区#7 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#7 --[regulated_by, score=0.45]--> 监管机构社区#9
  责任方社区#7 --[regulated_by, score=0.40]--> 监管机构社区#10
  责任方社区#8 --[regulated_by, score=0.95]--> 监管机构社区#0
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#1
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#2
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#3
  责任方社区#8 --[regulated_by, score=0.95]--> 监管机构社区#4
  责任方社区#8 --[regulated_by, score=0.45]--> 监管机构社区#5
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#6
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#7
  责任方社区#8 --[regulated_by, score=0.70]--> 监管机构社区#8
  责任方社区#8 --[regulated_by, score=0.45]--> 监管机构社区#9
  责任方社区#8 --[regulated_by, score=0.40]--> 监管机构社区#10
  责任方社区#9 --[regulated_by, score=0.53]--> 监管机构社区#0
  责任方社区#9 --[regulated_by, score=0.78]--> 监管机构社区#1
  责任方社区#9 --[regulated_by, score=0.95]--> 监管机构社区#2
  责任方社区#9 --[regulated_by, score=0.57]--> 监管机构社区#3
  责任方社区#9 --[regulated_by, score=0.57]--> 监管机构社区#4
  责任方社区#9 --[regulated_by, score=0.45]--> 监管机构社区#5
  责任方社区#9 --[regulated_by, score=0.57]--> 监管机构社区#6
  责任方社区#9 --[regulated_by, score=0.45]--> 监管机构社区#7
  责任方社区#9 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#9 --[regulated_by, score=0.45]--> 监管机构社区#9
  责任方社区#9 --[regulated_by, score=0.40]--> 监管机构社区#10
  责任方社区#10 --[regulated_by, score=0.40]--> 监管机构社区#0
  责任方社区#10 --[regulated_by, score=0.45]--> 监管机构社区#1
  责任方社区#10 --[regulated_by, score=0.45]--> 监管机构社区#2
  责任方社区#10 --[regulated_by, score=0.51]--> 监管机构社区#3
  责任方社区#10 --[regulated_by, score=0.45]--> 监管机构社区#4
  责任方社区#10 --[regulated_by, score=0.64]--> 监管机构社区#5
  责任方社区#10 --[regulated_by, score=0.51]--> 监管机构社区#6
  责任方社区#10 --[regulated_by, score=0.45]--> 监管机构社区#7
  责任方社区#10 --[regulated_by, score=0.53]--> 监管机构社区#8
  责任方社区#10 --[regulated_by, score=0.95]--> 监管机构社区#9
  责任方社区#10 --[regulated_by, score=0.40]--> 监管机构社区#10
  责任方社区#11 --[regulated_by, score=0.40]--> 监管机构社区#0
  责任方社区#11 --[regulated_by, score=0.90]--> 监管机构社区#1
  责任方社区#11 --[regulated_by, score=0.95]--> 监管机构社区#2
  责任方社区#11 --[regulated_by, score=0.45]--> 监管机构社区#3
  责任方社区#11 --[regulated_by, score=0.45]--> 监管机构社区#4
  责任方社区#11 --[regulated_by, score=0.90]--> 监管机构社区#5
  责任方社区#11 --[regulated_by, score=0.45]--> 监管机构社区#6
  责任方社区#11 --[regulated_by, score=0.40]--> 监管机构社区#7
  责任方社区#11 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#11 --[regulated_by, score=0.45]--> 监管机构社区#9
  责任方社区#11 --[regulated_by, score=0.95]--> 监管机构社区#10
  责任方社区#12 --[regulated_by, score=0.90]--> 监管机构社区#0
  责任方社区#12 --[regulated_by, score=0.90]--> 监管机构社区#1
  责任方社区#12 --[regulated_by, score=0.90]--> 监管机构社区#2
  责任方社区#12 --[regulated_by, score=0.90]--> 监管机构社区#3
  责任方社区#12 --[regulated_by, score=0.45]--> 监管机构社区#4
  责任方社区#12 --[regulated_by, score=0.40]--> 监管机构社区#5
  责任方社区#12 --[regulated_by, score=0.45]--> 监管机构社区#6
  责任方社区#12 --[regulated_by, score=0.40]--> 监管机构社区#7
  责任方社区#12 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#12 --[regulated_by, score=0.40]--> 监管机构社区#9
  责任方社区#12 --[regulated_by, score=0.35]--> 监管机构社区#10
  责任方社区#13 --[regulated_by, score=0.95]--> 监管机构社区#0
  责任方社区#13 --[regulated_by, score=0.95]--> 监管机构社区#1
  责任方社区#13 --[regulated_by, score=0.95]--> 监管机构社区#2
  责任方社区#13 --[regulated_by, score=0.95]--> 监管机构社区#3
  责任方社区#13 --[regulated_by, score=0.45]--> 监管机构社区#4
  责任方社区#13 --[regulated_by, score=0.45]--> 监管机构社区#5
  责任方社区#13 --[regulated_by, score=0.45]--> 监管机构社区#6
  责任方社区#13 --[regulated_by, score=0.45]--> 监管机构社区#7
  责任方社区#13 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#13 --[regulated_by, score=0.40]--> 监管机构社区#9
  责任方社区#13 --[regulated_by, score=0.40]--> 监管机构社区#10
  责任方社区#14 --[regulated_by, score=0.95]--> 监管机构社区#0
  责任方社区#14 --[regulated_by, score=0.95]--> 监管机构社区#1
  责任方社区#14 --[regulated_by, score=0.95]--> 监管机构社区#2
  责任方社区#14 --[regulated_by, score=0.45]--> 监管机构社区#3
  责任方社区#14 --[regulated_by, score=0.95]--> 监管机构社区#4
  责任方社区#14 --[regulated_by, score=0.45]--> 监管机构社区#5
  责任方社区#14 --[regulated_by, score=0.45]--> 监管机构社区#6
  责任方社区#14 --[regulated_by, score=0.95]--> 监管机构社区#7
  责任方社区#14 --[regulated_by, score=0.45]--> 监管机构社区#8
  责任方社区#14 --[regulated_by, score=0.45]--> 监管机构社区#9
  责任方社区#14 --[regulated_by, score=0.40]--> 监管机构社区#10

============================================================
微观证据链（节点级 Top-5 路径）
============================================================

路径1（路径长度=2, 综合cost=0.741）:
  [违规] 2个以上行为人（Actor）
    ↓ [做出]
  [监管] 连续交易操纵（Means）

路径2（路径长度=2, 综合cost=0.741）:
  [违规] 单一的行为人（Actor）
    ↓ [做出]
  [监管] 连续交易操纵（Means）

路径3（路径长度=2, 综合cost=0.741）:
  [违规] 证券咨询机构（Actor）
    ↓ [做出]
  [监管] 抢帽子交易操纵（Means）

路径4（路径长度=2, 综合cost=0.741）:
  [违规] 专业中介机构（Actor）
    ↓ [做出]
  [监管] 抢帽子交易操纵（Means）

路径5（路径长度=2, 综合cost=0.741）:
  [违规] 工作人员（Actor）
    ↓ [做出]
  [监管] 抢帽子交易操纵（Means）
